ID;LabelIdentifier;GroupIdentifier;Name;Type
95436dda-4c95-46ae-b59d-d836d116cf16;unit414;b84fcd90-f870-4f75-8793-e7ba7526b07f;Heidenheim, Bahnhof, Boxen;BycicleBox
a5713e95-d456-4bc4-b150-710e455f433c;unit405;b84fcd90-f870-4f75-8793-e7ba7526b07f;Heidenheim, Bahnhof, Sammelgarage;BycicleBox
2016ae49-7e76-46d9-b7b9-8959aaf54f26;hdh-pk12;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Am Wedelgraben (hinter Inder, zweiter Parkplatz);ParkingSensor
2f8ee1b0-6bc7-484e-8647-fbac39791838;hdh-pk16;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Kurzparker Bibliothek 30 Minuten;ParkingSensor
4b35ee11-aae7-42a2-816d-5152e1ede169;hdh-pk11;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Am Wedelgraben (hinter Inder, erster Parkplatz);ParkingSensor
4c618f3c-b0cf-40d5-b4cd-4ace2d5d88a7;hdh-pk17;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor E-Ladestation Theodor-Heuss-Stra·e 1;ParkingSensor
4dd34d05-199c-46e9-af9b-f72a088aae00;hdh-pk15;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Kurzparker Bibliothek 30 Minuten;ParkingSensor
5c28c0ba-e75a-45ad-8e63-745bb014ddf8;hdh-pk03;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Behindertenparkplatz Grabenstra·e ;ParkingSensor
62ff7a3c-fc32-4b38-8f86-87ddde56a5bc;hdh-pk02;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Behindertenparkplatz Grabenstra·e ;ParkingSensor
696d47f6-ea48-42ad-9725-dd6035ff4ed1;hdh-pk04;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;ParkplatzbodensensorˇKurzparkzone BÅcherrÅckgabe;ParkingSensor
6b896bb7-bdb5-46af-a80e-77967a0df8f9;hdh-pk06;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Kurzparker Bibliothek 30 Minuten;ParkingSensor
86b06cf6-19d3-4f55-9ef8-df5c6fa0973e;hdh-pk10;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;ParkplatzbodensensorˇE-Ladestation Theodor-Heuss-Stra·e 1;ParkingSensor
a92f63d9-7b1f-4e64-b407-dfd65e185793;hdh-pk01;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Behindertenparkplatz Grabenstra·e ;ParkingSensor
ad6283cd-d8ca-4548-9679-0492044462b3;hdh-pk14;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Taxiparkplatz Obere Grabenstra·e;ParkingSensor
b1070e61-9aa3-4a9d-9685-00bc256180d8;hdh-pk09;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;DEFEKT-ParkplatzbodensensorˇE-Ladestation Theodor-Heuss-Stra·e 1;ParkingSensor
b714766a-f40a-48da-ae9d-c783db94ee4b;hdh-pk05;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;ParkplatzbodensensorˇKurzparkzone BÅcherrÅckgabe;ParkingSensor
bff3104e-2318-469c-b399-04065f318b61;hdh-pk07;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Kurzparker Bibliothek 30 Minuten;ParkingSensor
d60b14f5-1e34-4a9e-b5b8-f763a4f29343;hdh-pk08;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Carsharing Theodor-Heuss-Stra·e 1;ParkingSensor
e148ff1a-ea1e-4f21-bb1e-b1be7389acf6;hdh-pk13;c5cf1f80-bfcd-41fd-b874-1bf763a786c1;Parkplatzbodensensor Am Wedelgraben (hinter Inder, dritter Parkplatz);ParkingSensor
36ed05b4-430d-4785-9aea-64c34e11af36;hdh-pc-05;4d56e281-b89b-4be2-9468-2e70ceb6d876;Smartes Sitzmîbel PersonenzÑhler - Levillain Anlage;TrafficFrequency
554ff6f6-802b-4e2e-86cc-a30f26395efc;hdh-pc05;4d56e281-b89b-4be2-9468-2e70ceb6d876;Smartes Sitzmîbel PersonenzÑhler - Levillain Anlage;TrafficFrequency
0438a9cc-95cb-4111-bd3c-34dec97c720a;3bc2a1ae-8a6f-4cc6-aab0-0e7ac50f3077;d18db740-d364-43ff-86c7-9655d009a529;Zugang Arkaden Olgastr;TrafficFrequency
06b032cc-40a4-45b9-9c93-ba7066b44b92;8752218d-1afc-468f-9f89-79576547798c;d18db740-d364-43ff-86c7-9655d009a529;Zugang FGZ Eugen-Jaekle-Platz;TrafficFrequency
1acaeb15-94c4-4539-99c4-677e0528a95b;f3060e0b-ad7c-4987-afe6-471ca7178b34;d18db740-d364-43ff-86c7-9655d009a529;FGZ Zugang Olgastr;TrafficFrequency
206805f8-39d2-47f8-9b80-e28558646044;75271b18-ba13-4f6e-a430-665038d508ae;d18db740-d364-43ff-86c7-9655d009a529;Schlosshau-Zang;TrafficFrequency
25c0b636-8038-409d-8d6b-b5e721670288;841db5c7-fd00-470c-8854-e65e52b3c010;d18db740-d364-43ff-86c7-9655d009a529;Verkehr Brenzstr;TrafficFrequency
36404ed6-438a-47ae-bbfe-6048b825dde8;859cc3be-1d89-4f8c-aeaa-64b51f610098;d18db740-d364-43ff-86c7-9655d009a529;Wilhelmstr. West;TrafficFrequency
3f1c68e8-df21-410c-9dd2-d5be314e7f8e;95a79150-a49c-4580-8397-aa380cc596e3;d18db740-d364-43ff-86c7-9655d009a529;Knoepfle FGZ Nord Hauptstr;TrafficFrequency
5118f978-2f6d-4e41-84af-8927e9ef046a;726edb37-db5a-452d-b3b1-0353e7b7cc07;d18db740-d364-43ff-86c7-9655d009a529;Schlosshaustr.;TrafficFrequency
537b6bbe-33aa-47d7-9cd4-685857e0260e;82532a09-8990-4390-a99c-3c1eef4d2e00;d18db740-d364-43ff-86c7-9655d009a529;Katzental;TrafficFrequency
59f17d80-3ff6-4ce3-a565-b088462344d5;63c5765a-372e-49bd-a96f-44e4a71c6a0e;d18db740-d364-43ff-86c7-9655d009a529;Fussg«œnger REWE Brenzbr«¨cke;TrafficFrequency
63a33d0f-dd31-4522-8e85-06e437594974;a5617bbd-2bb0-4d3e-8b26-00b60c857559;d18db740-d364-43ff-86c7-9655d009a529;Zugang FGZ Eugen-Jaekle-Platz;TrafficFrequency
6b521414-a3ae-4b34-aa6d-1eeed43fbd0b;71e09626-6b0d-42c4-91e1-1ddc59e03c0e;d18db740-d364-43ff-86c7-9655d009a529;Knopfle FGZ Ost Ratsgasse;TrafficFrequency
786a08b6-d6bf-44c3-af77-5c0bd202e396;3847e00b-b595-4cda-a576-182b14083fd8;d18db740-d364-43ff-86c7-9655d009a529;Giengener-Stadtmitte;TrafficFrequency
